,,,,bench,,,strat
2010-09-23,-0.00833134,,2011-10-05,-0.017865634,,2011-10-05,0
2010-09-24,0.012863052,,2011-10-06,-0.036169298,,2011-10-06,0
2010-09-27,0.00719562,,2011-10-07,-0.028005989,,2011-10-07,0
2010-09-28,0.012046006,,2011-10-10,-0.062130974,,2011-10-10,0
2010-09-29,0.009458247,,2011-10-11,-0.062674977,,2011-10-11,0
2010-09-30,0.006374525,,2011-10-12,-0.072469682,,2011-10-12,0
2010-10-01,0.010790963,,2011-10-13,-0.069496009,,2011-10-13,0
2010-10-04,0.00275603,,2011-10-14,-0.086876267,,2011-10-14,0
2010-10-05,0.023617371,,2011-10-17,-0.067506384,,2011-10-17,0
2010-10-06,0.022945367,,2011-10-18,-0.087925101,,2011-10-18,0
2010-10-07,0.021298848,,2011-10-19,-0.075275963,,2011-10-19,0
2010-10-08,0.027421126,,2011-10-20,-0.079830142,,2011-10-20,0
2010-10-11,0.027566963,,2011-10-21,-0.098638907,,2011-10-21,0
2010-10-12,0.03138572,,2011-10-24,-0.111511866,,2011-10-24,0
2010-10-13,0.03850674,,2011-10-25,-0.091467141,,2011-10-25,0
2010-10-14,0.034865354,,2011-10-26,-0.102003694,,2011-10-26,0
2010-10-15,0.036892839,,2011-10-27,-0.136295132,,2011-10-27,0
2010-10-18,0.044136584,,2011-10-28,-0.136684361,,2011-10-28,0
2010-10-19,0.028259333,,2011-10-31,-0.111946858,,2011-10-31,0
2010-10-20,0.038783409,,2011-11-01,-0.084004611,,2011-11-01,0
2010-10-21,0.040557318,,2011-11-02,-0.100109279,,2011-11-02,0
2010-10-22,0.042946576,,2011-11-03,-0.118891086,,2011-11-03,0
2010-10-25,0.045093547,,2011-11-04,-0.112611069,,2011-11-04,0
2010-10-26,0.045110433,,2011-11-07,-0.118906813,,2011-11-07,0
2010-10-27,0.042419849,,2011-11-08,-0.130642452,,2011-11-08,0
2010-10-28,0.043544698,,2011-11-09,-0.093947309,,2011-11-09,0
2010-10-29,0.043105412,,2011-11-10,-0.102571485,,2011-11-10,0
2010-11-01,0.044051945,,2011-11-11,-0.122052026,,2011-11-11,0
2010-11-02,0.051811229,,2011-11-14,-0.112501884,,2011-11-14,0
2010-11-03,0.055489283,,2011-11-15,-0.117319048,,2011-11-15,0
2010-11-04,0.074772146,,2011-11-16,-0.100702847,,2011-11-16,0
2010-11-05,0.078694899,,2011-11-17,-0.083902895,,2011-11-17,0
2010-11-08,0.076573942,,2011-11-18,-0.083508216,,2011-11-18,0
2010-11-09,0.068521642,,2011-11-21,-0.06485972,,2011-11-21,0
2010-11-10,0.072897723,,2011-11-22,-0.060718879,,2011-11-22,0
2010-11-11,0.068655596,,2011-11-23,-0.038623664,,2011-11-23,0
2010-11-12,0.056847104,,2011-11-25,-0.035938157,,2011-11-25,0
2010-11-15,0.055629668,,2011-11-28,-0.065178583,,2011-11-28,0
2010-11-16,0.039424255,,2011-11-29,-0.067392236,,2011-11-29,0
2010-11-17,0.039636418,,2011-11-30,-0.090321748,,2011-11-30,0.020385796
2010-11-18,0.054993731,,2011-12-01,-0.083901823,,2011-12-01,0.024897074
2010-11-19,0.057534104,,2011-12-02,-0.082377689,,2011-12-02,0.026180222
2010-11-22,0.055958738,,2011-12-05,-0.088606609,,2011-12-05,0.030238317
2010-11-23,0.041674704,,2011-12-06,-0.120556859,,2011-12-06,-0.000606184
2010-11-24,0.056597673,,2011-12-07,-0.168229297,,2011-12-07,-0.046260267
2010-11-26,0.04912911,,2011-12-08,-0.147087487,,2011-12-08,-0.046260267
2010-11-29,0.047750252,,2011-12-09,-0.163970838,,2011-12-09,-0.046260267
2010-11-30,0.041680035,,2011-12-12,-0.146888528,,2011-12-12,-0.04409201
2010-12-01,0.063296989,,2011-12-13,-0.137769805,,2011-12-13,-0.043659297
2010-12-02,0.076115552,,2011-12-14,-0.089224206,,2011-12-14,-0.006462065
2010-12-03,0.078718789,,2011-12-15,-0.08433553,,2011-12-15,0.001669711
2010-12-06,0.07742055,,2011-12-16,-0.080312796,,2011-12-16,0.008908594
2010-12-07,0.07793563,,2011-12-19,-0.006567651,,2011-12-19,0.070920915
2010-12-08,0.081637391,,2011-12-20,0.031665704,,2011-12-20,0.138979693
2010-12-09,0.085480139,,2011-12-21,0.025009464,,2011-12-21,0.134272958
2010-12-10,0.09148178,,2011-12-22,-0.006537279,,2011-12-22,0.110991765
2010-12-13,0.091530101,,2011-12-23,-0.00942708,,2011-12-23,0.117137017
