Date,Open,High,Low,Close,Adj Close,Volume
04/04/2012,2.3625,2.3675,2.3275,2.3675,2.3675,40000
05/04/2012,2.415,2.4175,2.4125,2.4175,2.4175,10400
09/04/2012,2.255,2.3175,2.25,2.2825,2.2825,25200
10/04/2012,2.2375,2.2475,2.06,2.075,2.075,135200
11/04/2012,2.1625,2.1875,2.1275,2.1275,2.1275,64400
12/04/2012,2.19,2.29,2.18,2.29,2.29,147200
13/04/2012,2.275,2.275,2.15,2.1525,2.1525,91600
16/04/2012,2.2375,2.2375,2.135,2.1575,2.1575,140000
17/04/2012,2.2575,2.325,2.2575,2.325,2.325,75600
18/04/2012,2.28,2.3,2.2425,2.26,2.26,92400
19/04/2012,2.25,2.29,2.2,2.2375,2.2375,159200
20/04/2012,2.3025,2.33,2.3,2.3125,2.3125,104800
23/04/2012,2.2,2.245,2.0975,2.235,2.235,109600
24/04/2012,2.2375,2.2875,2.2375,2.2825,2.2825,82000
25/04/2012,2.31,2.425,2.31,2.425,2.425,99600
26/04/2012,2.465,2.535,2.465,2.5225,2.5225,32800
27/04/2012,2.5225,2.5375,2.5225,2.525,2.525,11600
30/04/2012,2.53,2.53,2.45,2.4575,2.4575,27600
01/05/2012,2.5075,2.57,2.4675,2.5225,2.5225,103200
02/05/2012,2.475,2.5375,2.475,2.525,2.525,90400
03/05/2012,2.525,2.525,2.525,2.525,2.525,0
04/05/2012,2.4225,2.4225,2.33,2.3425,2.3425,146400
07/05/2012,2.32,2.4,2.3,2.385,2.385,52400
08/05/2012,2.3825,2.3825,2.14,2.3725,2.3725,171600
09/05/2012,2.27,2.3275,2.215,2.2625,2.2625,60000
10/05/2012,2.345,2.36,2.3275,2.335,2.335,152000
11/05/2012,2.2625,2.38,2.2625,2.35,2.35,80000
14/05/2012,2.1925,2.24,2.1625,2.1625,2.1625,376000
15/05/2012,2.1875,2.1875,1.93,2.0575,2.0575,94800
16/05/2012,2.1,2.125,1.9875,1.9875,1.9875,60000
17/05/2012,1.9775,1.985,1.8875,1.8875,1.8875,116800
18/05/2012,1.905,1.9075,1.735,1.765,1.765,444000
22/05/2012,1.98,2.0525,1.83,1.87,1.87,420000
23/05/2012,1.815,1.93,1.7825,1.9025,1.9025,392000
24/05/2012,1.91,1.9175,1.825,1.9025,1.9025,292000
25/05/2012,1.9125,1.9175,1.9025,1.9025,1.9025,95200
28/05/2012,1.925,1.955,1.92,1.955,1.955,42800
29/05/2012,1.97,2.0125,1.945,2.0125,2.0125,200800
30/05/2012,1.9625,1.9625,1.875,1.875,1.875,253200
31/05/2012,1.845,1.8875,1.7575,1.84,1.84,342400
01/06/2012,1.72,1.825,1.6775,1.6775,1.6775,452800
04/06/2012,1.7,1.7375,1.67,1.7375,1.7375,516800
05/06/2012,1.7475,1.7975,1.7475,1.785,1.785,339600
06/06/2012,1.8375,1.9225,1.83,1.9125,1.9125,237600
07/06/2012,2.0125,2.0125,1.9375,1.9375,1.9375,173600
08/06/2012,1.91,2.04,1.91,2.04,2.04,121600
11/06/2012,2.115,2.1175,1.86,1.86,1.86,216400
12/06/2012,1.865,1.89,1.815,1.8675,1.8675,136400
13/06/2012,1.8425,1.885,1.7525,1.7875,1.7875,103200
14/06/2012,1.81,1.88,1.775,1.88,1.88,120800
15/06/2012,1.8975,1.99,1.8975,1.9875,1.9875,142000
18/06/2012,1.9975,2.15,1.9975,2.15,2.15,144000
19/06/2012,2.23,2.23,2.1525,2.185,2.185,142000
20/06/2012,2.17,2.2475,2.125,2.2475,2.2475,209200
21/06/2012,2.245,2.275,1.9925,2,2,208000
22/06/2012,2.055,2.2125,2.04,2.2125,2.2125,262400
25/06/2012,2.09,2.09,2.025,2.065,2.065,112000
26/06/2012,2.0975,2.13,2.04,2.105,2.105,141200
27/06/2012,2.1525,2.1525,2.095,2.095,2.095,76000
28/06/2012,2.0525,2.1625,2.0325,2.155,2.155,134400
29/06/2012,2.2775,2.3125,2.25,2.3,2.3,117600
03/07/2012,2.475,2.5225,2.44,2.44,2.44,82000
04/07/2012,2.445,2.4475,2.38,2.445,2.445,22400
05/07/2012,2.44,2.44,2.375,2.41,2.41,74800
06/07/2012,2.3125,2.385,2.3125,2.385,2.385,53200
09/07/2012,2.42,2.4625,2.4025,2.4625,2.4625,17600
