Date,xiv,vxx,ratio,ma_60,ma_150
2010-11-30,9.557,3154.560059,,,
2010-12-01,9.787,3004.800049,,,
2010-12-02,10.429,2771.840088,,,
2010-12-03,11.041,2643.199951,,,
2010-12-06,11.252,2595.199951,,,
2010-12-07,11.358,2569.600098,,,
2010-12-08,11.555,2499.199951,,,
2010-12-09,11.816,2466.560059,,,
2010-12-10,11.917,2440.320068,,,
2010-12-13,11.748,2476.159912,,,
2010-12-14,11.669,2489.600098,,,
2010-12-15,11.415,2546.560059,,,
2010-12-16,11.568,2496.639893,,,
2010-12-17,11.822,2452.47998,,,
2010-12-20,12.135,2398.080078,,,
2010-12-21,12.334,2356.47998,,,
2010-12-22,12.366,2343.679932,,,
2010-12-23,11.969,2419.199951,,,
2010-12-27,11.65,2461.439941,,,
2010-12-28,11.537,2491.52002,,,
2010-12-29,11.78,2457.600098,,,
2010-12-30,11.847,2426.879883,,,
2010-12-31,11.954,2407.040039,,,
2011-01-03,12.38,2335.360107,,,
2011-01-04,12.135,2325.120117,,,
2011-01-05,12.599,2293.120117,,,
2011-01-06,12.526,2299.52002,,,
2011-01-07,12.508,2307.199951,,,
2011-01-10,12.546,2304.0,,,
2011-01-11,12.916,2236.159912,,,
2011-01-12,13.492,2139.52002,,,
2011-01-13,13.61,2111.360107,,,
2011-01-14,14.209,2020.47998,,,
2011-01-18,14.657,1955.839966,,,
2011-01-19,13.802,2059.52002,,,
2011-01-20,13.963,2038.400024,,,
2011-01-21,13.835,2062.719971,,,
2011-01-24,14.131,2021.119995,,,
2011-01-25,14.2,1996.160034,,,
2011-01-26,14.736,1935.359985,,,
2011-01-27,15.054,1895.040039,,,
2011-01-28,13.75,2054.399902,,,
2011-01-31,13.765,2049.919922,,,
2011-02-01,14.457,1950.719971,,,
2011-02-02,14.472,1941.76001,,,
2011-02-03,14.677,1916.800049,,,
2011-02-04,15.006,1869.439941,,,
2011-02-07,15.235,1841.280029,,,
2011-02-08,15.502,1818.880005,,,
2011-02-09,15.371,1824.640015,,,
2011-02-10,15.38,1824.640015,,,
2011-02-11,15.666,1793.280029,,,
2011-02-14,15.8,1774.719971,,,
2011-02-15,15.603,1799.040039,,,
2011-02-16,15.392,1821.439941,,,
2011-02-17,15.218,1842.560059,,,
2011-02-18,15.085,1857.920044,,,
2011-02-22,13.249,2083.199951,,,
2011-02-23,12.623,2176.639893,,,
2011-02-24,12.731,2155.52002,,,
2011-02-25,13.554,2016.640015,,,
2011-02-28,14.098,1931.52002,,,
2011-03-01,13.059,2076.800049,,,
2011-03-02,13.02,2081.919922,,,
2011-03-03,13.644,1976.319946,,,
2011-03-04,13.317,2026.23999,,,
2011-03-07,12.948,2079.360107,,,
2011-03-08,13.219,2035.839966,,,
2011-03-09,13.043,2064.0,,,
2011-03-10,12.382,2170.879883,,,
2011-03-11,12.706,2112.639893,,,
2011-03-14,12.582,2133.120117,,,
2011-03-15,12.031,2223.360107,,,
2011-03-16,11.044,2408.320068,,,
2011-03-17,11.451,2334.719971,,,
2011-03-18,11.74,2263.040039,,,
2011-03-21,12.66,2090.879883,,,
2011-03-22,12.722,2080.0,,,
2011-03-23,13.195,2000.640015,,,
2011-03-24,13.541,1946.23999,,,
2011-03-25,13.56,1943.680054,,,
2011-03-28,13.389,1969.280029,,,
2011-03-29,13.7,1919.359985,,,
2011-03-30,13.958,1884.800049,,,
2011-03-31,13.987,1879.680054,,,
2011-04-01,14.116,1861.76001,,,
2011-04-04,14.254,1843.199951,,,
2011-04-05,14.49,1810.560059,,,
2011-04-06,14.557,1803.52002,,,
2011-04-07,14.44,1816.319946,,,
2011-04-08,14.173,1850.880005,,,
2011-04-11,14.32,1833.599976,,,
2011-04-12,14.198,1850.880005,,,
2011-04-13,14.417,1819.52002,,,
2011-04-14,14.541,1804.160034,,,
2011-04-15,14.871,1763.199951,,,
2011-04-18,14.512,1800.319946,,,
2011-04-19,15.253,1713.280029,,,
2011-04-20,15.874,1641.599976,,,
2011-04-21,16.337,1592.319946,,,
2011-04-25,16.719,1555.839966,,,
2011-04-26,17.09,1521.920044,,,
2011-04-27,17.302999,1499.52002,,,
2011-04-28,17.544001,1481.599976,,,
2011-04-29,17.492001,1482.23999,,,
2011-05-02,16.985001,1528.319946,,,
2011-05-03,16.625,1559.680054,,,
2011-05-04,16.419001,1577.599976,,,
2011-05-05,15.954,1622.400024,,,
2011-05-06,16.325001,1589.76001,,,
2011-05-09,16.820999,1535.359985,,,
2011-05-10,17.422001,1482.23999,,,
2011-05-11,17.1,1507.839966,,,
2011-05-12,17.264,1493.119995,,,
2011-05-13,17.034,1512.319946,,,
2011-05-16,16.697001,1546.880005,,,
2011-05-17,17.0,1516.160034,,,
2011-05-18,17.441,1475.199951,,,
2011-05-19,17.809999,1442.560059,,,
2011-05-20,17.618,1456.640015,,,
2011-05-23,17.016001,1504.640015,,,
2011-05-24,17.073999,1502.079956,,,
2011-05-25,17.57,1459.199951,,,
2011-05-26,17.934,1426.560059,,,
2011-05-27,18.278999,1404.160034,,,
2011-05-31,18.815001,1362.560059,,,
2011-06-01,17.546,1448.319946,,,
2011-06-02,17.777,1430.400024,,,
2011-06-03,17.766001,1431.680054,,,
2011-06-06,17.488001,1456.0,,,
2011-06-07,17.677999,1438.719971,,,
2011-06-08,17.393,1461.119995,,,
2011-06-09,17.927999,1415.040039,,,
2011-06-10,17.355,1463.040039,,,
2011-06-13,17.038,1487.359985,,,
2011-06-14,17.545,1441.280029,,,
2011-06-15,16.080999,1563.52002,,,
2011-06-16,15.232,1647.359985,,,
2011-06-17,15.496,1615.359985,,,
2011-06-20,16.174,1543.680054,,,
2011-06-21,16.700001,1492.47998,,,
2011-06-22,16.558001,1507.199951,,,
2011-06-23,16.542,1507.199951,,,
2011-06-24,15.854,1569.920044,,,
2011-06-27,16.110001,1546.880005,,,
2011-06-28,16.74,1484.160034,,,
2011-06-29,17.549999,1409.920044,,,
2011-06-30,18.290001,1352.959961,,,
2011-07-01,19.0,1298.560059,,,
2011-07-05,18.91,1303.040039,,,
2011-07-06,18.639999,1323.52002,,,
2011-07-07,19.17,1287.040039,,,
2011-07-08,18.889999,1302.400024,,,
2011-07-11,17.34,1409.280029,,,
2011-07-12,16.889999,1444.47998,,,
2011-07-13,16.9,1444.47998,,,
2011-07-14,16.280001,1496.319946,,,
2011-07-15,16.469999,1482.23999,,,
2011-07-18,16.07,1512.959961,,,
2011-07-19,16.83,1441.280029,,,
2011-07-20,17.17,1410.560059,,,
2011-07-21,18.110001,1336.319946,,,
2011-07-22,18.209999,1326.719971,,,
2011-07-25,17.48,1377.280029,,,
2011-07-26,17.110001,1408.0,,,
2011-07-27,16.129999,1491.199951,,,
2011-07-28,15.69,1525.76001,,,
2011-07-29,15.98,1498.23999,,,
2011-08-01,16.67,1434.23999,,,
2011-08-02,15.58,1534.079956,,,
2011-08-03,15.45,1541.119995,,,
2011-08-04,12.45,1848.959961,,,
2011-08-05,11.71,1939.839966,,,
2011-08-08,10.0,2225.919922,,,
2011-08-09,10.72,2000.640015,,,
2011-08-10,9.25,2250.879883,,,
2011-08-11,9.61,2161.919922,,,
2011-08-12,9.54,2184.320068,,,
2011-08-15,10.1,2059.52002,,,
2011-08-16,9.87,2103.679932,,,
2011-08-17,9.66,2145.919922,,,
2011-08-18,7.73,2590.080078,,,
2011-08-19,7.28,2723.199951,,,
2011-08-22,7.07,2807.040039,,,
2011-08-23,7.41,2673.280029,,,
2011-08-24,7.56,2617.600098,,,
2011-08-25,7.41,2670.719971,,,
2011-08-26,7.52,2628.47998,,,
2011-08-29,7.98,2464.0,,,
2011-08-30,7.9,2489.600098,,,
2011-08-31,7.87,2493.439941,,,
2011-09-01,7.77,2527.360107,,,
2011-09-02,7.38,2654.719971,,,
2011-09-06,7.16,2734.080078,,,
2011-09-07,7.4,2636.159912,,,
2011-09-08,7.27,2679.040039,,,
2011-09-09,6.59,2933.120117,,,
2011-09-12,6.53,2960.0,,,
2011-09-13,6.6,2934.399902,,,
2011-09-14,6.77,2854.399902,,,
2011-09-15,7.1,2712.320068,,,
2011-09-16,7.24,2659.199951,,,
2011-09-19,6.99,2748.159912,,,
2011-09-20,7.0,2744.320068,,,
2011-09-21,6.61,2893.439941,,,
2011-09-22,5.95,3189.76001,,,
2011-09-23,5.88,3221.76001,,,
2011-09-26,6.1,3110.399902,,,
2011-09-27,6.19,3048.959961,,,
2011-09-28,5.8,3246.719971,,,
2011-09-29,5.89,3191.040039,,,
2011-09-30,5.48,3415.679932,,,
2011-10-03,5.12,3637.76001,,,
2011-10-04,5.46,3382.399902,,,
2011-10-05,5.72,3216.639893,,,
2011-10-06,5.83,3160.320068,,,
2011-10-07,5.72,3214.080078,,,
2011-10-10,6.14,2983.040039,,,
2011-10-11,6.21,2946.560059,,,
2011-10-12,6.62,2750.080078,,,
2011-10-13,6.64,2744.320068,,,
2011-10-14,7.02,2589.439941,,,
2011-10-17,6.27,2858.23999,,,
2011-10-18,6.48,2752.0,,,
2011-10-19,6.02,2935.679932,,,
2011-10-20,5.95,2964.47998,,,
2011-10-21,6.27,2802.560059,,,
2011-10-24,6.66,2634.879883,,,
2011-10-25,6.21,2803.199951,,,
2011-10-26,6.45,2689.919922,,,
2011-10-27,7.3,2332.800049,,,
2011-10-28,7.33,2320.639893,,,
2011-10-31,6.56,2567.040039,,,
2011-11-01,5.62,2938.879883,,,
2011-11-02,5.78,2848.0,,,
2011-11-03,6.07,2707.840088,,,
2011-11-04,5.93,2768.0,,,
2011-11-07,5.99,2740.47998,,,
2011-11-08,6.27,2612.47998,,,
2011-11-09,5.09,3105.280029,,,
2011-11-10,5.39,2910.719971,,,
2011-11-11,5.61,2786.560059,,,
2011-11-14,5.47,2855.679932,,,
2011-11-15,5.53,2824.320068,,,
2011-11-16,5.27,2962.560059,,,
2011-11-17,5.03,3100.159912,,,
2011-11-18,5.17,3000.959961,,,
2011-11-21,5.11,3042.560059,,,
2011-11-22,5.21,2970.879883,,,
2011-11-23,4.99,3110.399902,,,
2011-11-25,4.91,3148.800049,,,
2011-11-28,5.13,2996.47998,,,
2011-11-29,5.23,2936.320068,,,
2011-11-30,5.71,2675.840088,,,
2011-12-01,5.84,2612.47998,,,
