Date,Open,High,Low,Close,Adj Close,Volume
04/10/2011,4.93625,5.2625,4.9125,5.2625,5.2625,162400
05/10/2011,5.44125,5.705,5.43125,5.67375,5.67375,71200
06/10/2011,5.67875,5.79125,5.6,5.79125,5.79125,44800
07/10/2011,5.89875,5.89875,5.5975,5.83625,5.83625,145600
10/10/2011,5.9375,6.075,5.925,6.075,6.075,120000
11/10/2011,6.03125,6.20625,6.03,6.1575,6.1575,131200
12/10/2011,6.395,6.6875,6.375,6.58625,6.58625,110400
13/10/2011,6.5,6.53375,6.3675,6.53375,6.53375,116800
14/10/2011,6.92375,6.9725,6.75125,6.96875,6.96875,105600
17/10/2011,6.8625,6.86375,6.2025,6.2025,6.2025,84800
18/10/2011,6.1875,6.53375,6.03625,6.4175,6.4175,83200
19/10/2011,6.4725,6.47625,5.90125,5.99,5.99,158400
20/10/2011,5.95625,5.95625,5.73125,5.93875,5.93875,82400
21/10/2011,6.16,6.23125,6.0825,6.23125,6.23125,60000
24/10/2011,6.3675,6.6325,6.3675,6.6325,6.6325,82400
25/10/2011,6.52875,6.52875,6.18125,6.1825,6.1825,147200
26/10/2011,6.4125,6.43875,6.105,6.39,6.39,179200
27/10/2011,7.0875,7.31875,6.95625,7.22875,7.22875,255200
28/10/2011,7.10375,7.3475,7.0725,7.3475,7.3475,184800
31/10/2011,6.97,7.02,6.555,6.555,6.555,381600
01/11/2011,5.55,5.81625,5.38375,5.57875,5.57875,1083200
02/11/2011,5.80875,5.81,5.585,5.76375,5.76375,177600
03/11/2011,5.93,6.055,5.57875,6.045,6.045,497600
04/11/2011,5.88125,6.025,5.69125,5.92625,5.92625,428800
07/11/2011,5.87875,5.97,5.7525,5.965,5.965,164800
08/11/2011,6.05625,6.25125,5.88375,6.25125,6.25125,293600
09/11/2011,5.77625,5.82875,5.0275,5.0525,5.0525,554400
10/11/2011,5.3425,5.375,5.09,5.3625,5.3625,391200
11/11/2011,5.575,5.65375,5.55375,5.59375,5.59375,589600
14/11/2011,5.5175,5.51875,5.3575,5.455,5.455,204000
15/11/2011,5.35625,5.555,5.31375,5.51125,5.51125,966400
16/11/2011,5.33375,5.535,5.21875,5.24875,5.24875,699200
17/11/2011,5.19625,5.23375,4.89625,4.99625,4.99625,1687200
18/11/2011,5.125,5.1625,4.99375,5.15625,5.15625,1727200
21/11/2011,4.88375,5.12875,4.875,5.105,5.105,949600
22/11/2011,5.05375,5.21375,5.03,5.20875,5.20875,831200
23/11/2011,5.095,5.1175,4.9625,4.9725,4.9725,1167200
25/11/2011,4.9675,5.05,4.89,4.90625,4.90625,276800
28/11/2011,5.22875,5.245,5.0825,5.12625,5.12625,588000
29/11/2011,5.1775,5.25875,5.11125,5.2225,5.2225,543200
30/11/2011,5.5775,5.7025,5.5375,5.7025,5.7025,707200
01/12/2011,5.6925,5.86875,5.67875,5.81875,5.81875,900800
02/12/2011,5.99,6.08625,5.84,5.845,5.845,747200
05/12/2011,6.06125,6.07625,5.8025,5.8525,5.8525,455200
06/12/2011,5.84875,5.95375,5.82625,5.87625,5.87625,381600
07/12/2011,5.8075,5.8075,5.55625,5.695,5.695,647200
08/12/2011,5.5375,5.585,5.38125,5.435,5.435,742400
09/12/2011,5.49875,5.815,5.49875,5.8075,5.8075,926400
12/12/2011,5.67,5.765,5.55375,5.765,5.765,948000
13/12/2011,5.93375,6.01375,5.68625,5.7775,5.7775,1096800
14/12/2011,5.7875,5.8775,5.66625,5.78,5.78,1020000
15/12/2011,6.0075,6.07,5.93,5.995,5.995,818400
16/12/2011,6.19625,6.2025,5.9625,6.04375,6.04375,624800
19/12/2011,6.0975,6.2225,6.04625,6.0875,6.0875,628000
20/12/2011,6.37,6.48625,6.32,6.465,6.465,1179200
21/12/2011,6.555,6.915,6.43125,6.905,6.905,1045600
22/12/2011,7.05625,7.1875,6.8025,6.8725,6.8725,962400
23/12/2011,6.96375,6.98125,6.6625,6.7125,6.7125,392800
27/12/2011,6.70375,6.82125,6.70375,6.75375,6.75375,302400
28/12/2011,6.7975,6.7975,6.465,6.465,6.465,104000
29/12/2011,6.57625,6.64375,6.57,6.62875,6.62875,68000
30/12/2011,6.6375,6.66,6.535,6.535,6.535,105600
03/01/2012,6.8275,6.9,6.79625,6.86125,6.86125,210400
04/01/2012,6.78625,6.99375,6.7025,6.98875,6.98875,169600
05/01/2012,6.84875,7.15375,6.82375,7.15375,7.15375,137600
06/01/2012,7.20875,7.3325,7.07375,7.27,7.27,153600
09/01/2012,7.32875,7.3925,7.2775,7.37,7.37,56800
10/01/2012,7.58,7.64875,7.50125,7.5125,7.5125,118400
11/01/2012,7.43875,7.45875,7.37375,7.385,7.385,139200
12/01/2012,7.42125,7.50375,7.16,7.4875,7.4875,106400
13/01/2012,7.29375,7.31,7.07125,7.2975,7.2975,224800
17/01/2012,7.54875,7.66,7.325,7.35875,7.35875,491200
18/01/2012,7.395,7.63,7.33875,7.6225,7.6225,236000
19/01/2012,7.7425,7.83125,7.6725,7.83125,7.83125,210400
20/01/2012,7.78375,8.0675,7.77,8.06625,8.06625,248000
23/01/2012,8.07625,8.31125,8.07125,8.2675,8.2675,1169600
24/01/2012,8.055,8.27375,8.03375,8.22625,8.22625,757600
25/01/2012,8.2225,8.61375,8.1575,8.5975,8.5975,358400
26/01/2012,8.79125,8.79125,8.4575,8.5625,8.5625,153600
27/01/2012,8.455,8.77875,8.455,8.7775,8.7775,34400
30/01/2012,8.40375,8.59,8.38875,8.5,8.5,531200
31/01/2012,8.70875,8.7375,8.415,8.515,8.515,137600
01/02/2012,8.68125,8.80875,8.63625,8.73125,8.73125,98400
02/02/2012,8.8825,8.995,8.855,8.995,8.995,68800
03/02/2012,9.36875,9.4775,9.2775,9.4775,9.4775,720800
06/02/2012,9.41125,9.58125,9.3625,9.57125,9.57125,221600
07/02/2012,9.56625,9.57125,9.36875,9.50125,9.50125,345600
08/02/2012,9.51875,9.54,9.235,9.29625,9.29625,400000
09/02/2012,9.2375,9.24,8.82375,8.82375,8.82375,176800
10/02/2012,8.34,8.4375,7.59,8.0275,8.0275,791200
13/02/2012,8.535,8.71,8.42125,8.71,8.71,220800
14/02/2012,8.5625,8.5625,7.87875,8.41625,8.41625,1400800
15/02/2012,8.25875,8.31625,7.885,7.92375,7.92375,1961600
16/02/2012,7.75,8.2275,7.61875,8.2125,8.2125,1170400
17/02/2012,8.3425,8.42875,8.125,8.335,8.335,478400
21/02/2012,8.43375,8.43375,8.2225,8.34125,8.34125,210400
22/02/2012,8.29375,8.59,8.29375,8.55875,8.55875,774400
23/02/2012,8.57,9.15125,8.53,9.125,9.125,392000
24/02/2012,9.27875,9.31125,8.7325,8.77625,8.77625,384000
27/02/2012,8.475,8.9725,8.45125,8.70625,8.70625,299200
28/02/2012,8.6075,8.83,8.58,8.795,8.795,224800
29/02/2012,8.94875,9.115,8.74,8.9325,8.9325,1027200
01/03/2012,9.0125,9.15625,8.9725,9.10625,9.10625,832000
02/03/2012,9.1175,9.16875,8.9575,9.045,9.045,1094400
05/03/2012,8.97,9.1125,8.88125,9.0625,9.0625,1298400
06/03/2012,8.47625,8.6675,8.27625,8.35125,8.35125,1982400
07/03/2012,8.455,8.76875,8.405,8.75625,8.75625,1876000
08/03/2012,8.96375,9.1425,8.93125,9.09,9.09,1002400
09/03/2012,9.21375,9.45,9.205,9.2725,9.2725,1170400
12/03/2012,9.39375,9.725,9.37375,9.6925,9.6925,1580800
13/03/2012,9.98,10.2125,9.8975,10.15,10.15,1924800
14/03/2012,10.2125,10.23375,9.545,9.79875,9.79875,1841600
15/03/2012,9.69625,9.9425,9.61375,9.9275,9.9275,1764000
