Date,VXMT
07/12/2017,14.97
06/12/2017,15.3
05/12/2017,15.37
04/12/2017,15.28
01/12/2017,15.3
30/11/2017,15.15
29/11/2017,15.17
28/11/2017,14.63
27/11/2017,14.87
24/11/2017,14.8
22/11/2017,14.85
21/11/2017,14.91
20/11/2017,15.51
17/11/2017,15.98
16/11/2017,16.06
15/11/2017,16.72
14/11/2017,16.15
13/11/2017,15.91
10/11/2017,15.91
09/11/2017,15.43
08/11/2017,15.21
07/11/2017,15.12
06/11/2017,14.87
03/11/2017,14.81
02/11/2017,14.9
01/11/2017,14.75
31/10/2017,14.6
30/10/2017,14.75
27/10/2017,14.48
26/10/2017,14.94
25/10/2017,15
24/10/2017,14.79
23/10/2017,14.85
20/10/2017,14.35
19/10/2017,14.48
18/10/2017,14.48
17/10/2017,14.54
16/10/2017,14.48
13/10/2017,14.52
12/10/2017,14.72
11/10/2017,14.66
10/10/2017,14.82
09/10/2017,14.94
06/10/2017,14.59
05/10/2017,14.25
04/10/2017,14.44
03/10/2017,14.46
02/10/2017,14.57
29/09/2017,14.81
28/09/2017,14.93
27/09/2017,15.04
26/09/2017,15.1
25/09/2017,15.14
22/09/2017,14.97
21/09/2017,14.8
20/09/2017,14.71
19/09/2017,14.85
18/09/2017,14.84
15/09/2017,15.09
14/09/2017,15.2
13/09/2017,15.22
12/09/2017,15.49
11/09/2017,15.77
08/09/2017,16.37
07/09/2017,15.98
06/09/2017,16.02
05/09/2017,16.05
01/09/2017,15.33
31/08/2017,15.46
30/08/2017,15.6
29/08/2017,15.52
28/08/2017,15.41
25/08/2017,15.42
24/08/2017,15.63
23/08/2017,15.53
22/08/2017,14.99
21/08/2017,15.92
18/08/2017,16.38
17/08/2017,16.5
16/08/2017,14.92
15/08/2017,15.11
14/08/2017,15.18
11/08/2017,16.86
10/08/2017,16.74
09/08/2017,14.89
08/08/2017,14.6
07/08/2017,14.16
04/08/2017,14.25
03/08/2017,14.15
02/08/2017,13.92
01/08/2017,13.76
31/07/2017,13.94
28/07/2017,13.96
27/07/2017,13.87
26/07/2017,13.79
25/07/2017,13.75
24/07/2017,13.82
21/07/2017,13.89
20/07/2017,13.9
19/07/2017,13.91
18/07/2017,14.04
17/07/2017,14.04
14/07/2017,14.01
13/07/2017,14.32
12/07/2017,14.48
11/07/2017,14.74
10/07/2017,14.9
07/07/2017,15.11
06/07/2017,15.48
05/07/2017,14.94
03/07/2017,14.96
30/06/2017,14.86
29/06/2017,14.88
28/06/2017,14.44
27/06/2017,14.78
26/06/2017,14.28
23/06/2017,14.49
22/06/2017,14.65
21/06/2017,14.73
20/06/2017,14.66
19/06/2017,14.49
16/06/2017,14.87
15/06/2017,15.07
14/06/2017,14.94
13/06/2017,14.96
12/06/2017,15.32
09/06/2017,15.17
08/06/2017,15.01
07/06/2017,15.27
06/06/2017,15.3
05/06/2017,15.08
02/06/2017,14.88
01/06/2017,14.83
31/05/2017,14.94
30/05/2017,15.03
26/05/2017,14.84
