Date,VXMT
02/01/2008,24.36
03/01/2008,23.75
04/01/2008,24.5
07/01/2008,24.22
08/01/2008,25.18
09/01/2008,24.48
10/01/2008,24.57
11/01/2008,24.96
14/01/2008,24.41
15/01/2008,24.9
16/01/2008,24.64
17/01/2008,26.52
18/01/2008,26.11
22/01/2008,26.87
23/01/2008,25.73
24/01/2008,25.74
25/01/2008,26.48
28/01/2008,25.73
29/01/2008,25.43
30/01/2008,25.68
31/01/2008,22.83
01/02/2008,24.18
04/02/2008,25.13
05/02/2008,26.58
06/02/2008,27.23
07/02/2008,26.47
08/02/2008,26.77
11/02/2008,26.38
12/02/2008,26.1
13/02/2008,25.53
14/02/2008,25.67
15/02/2008,25.65
19/02/2008,25.5
20/02/2008,24.95
21/02/2008,25.33
22/02/2008,24.79
25/02/2008,24.3
26/02/2008,23.78
27/02/2008,24.17
28/02/2008,24.61
29/02/2008,26.33
03/03/2008,25.91
04/03/2008,25.52
05/03/2008,24.8
06/03/2008,26.44
07/03/2008,26.51
10/03/2008,27.51
11/03/2008,25.77
12/03/2008,26.91
13/03/2008,27.03
14/03/2008,28.48
17/03/2008,28.41
18/03/2008,25.61
19/03/2008,27.83
20/03/2008,26.56
24/03/2008,25.91
25/03/2008,26.14
26/03/2008,26.49
27/03/2008,26.27
28/03/2008,26.24
31/03/2008,25.75
01/04/2008,24.2
02/04/2008,24.66
03/04/2008,24.64
04/04/2008,24.06
07/04/2008,23.7
08/04/2008,23.66
09/04/2008,24.11
10/04/2008,23.68
11/04/2008,24.55
14/04/2008,24.72
15/04/2008,24.26
16/04/2008,22.72
17/04/2008,22.63
18/04/2008,22.29
21/04/2008,22.25
22/04/2008,22.67
23/04/2008,22.65
24/04/2008,22.27
25/04/2008,21.68
28/04/2008,21.45
29/04/2008,21.72
30/04/2008,21.93
01/05/2008,20.77
02/05/2008,20.59
05/05/2008,21.05
06/05/2008,20.91
07/05/2008,21.9
08/05/2008,21.83
09/05/2008,21.91
12/05/2008,21.33
13/05/2008,21.29
14/05/2008,21.18
15/05/2008,20.79
16/05/2008,21.2
19/05/2008,21.37
20/05/2008,22.11
21/05/2008,23.34
22/05/2008,22.92
23/05/2008,23.69
27/05/2008,23.22
28/05/2008,22.96
29/05/2008,22.44
30/05/2008,22.04
02/06/2008,22.99
03/06/2008,23.36
04/06/2008,23.73
05/06/2008,22.47
06/06/2008,24.82
09/06/2008,24.52
10/06/2008,24.45
11/06/2008,24.83
12/06/2008,24.34
13/06/2008,23.27
16/06/2008,22.91
17/06/2008,23.07
18/06/2008,23.93
19/06/2008,23.3
20/06/2008,23.78
23/06/2008,23.71
24/06/2008,23.67
25/06/2008,22.88
26/06/2008,24.47
27/06/2008,24.29
30/06/2008,24.17
01/07/2008,24.07
02/07/2008,25.1
03/07/2008,24.67
07/07/2008,25.01
