Date,VXV
01/12/2016,16.67
02/12/2016,16.78
05/12/2016,15.77
06/12/2016,15.48
07/12/2016,15.48
08/12/2016,15.72
09/12/2016,15.22
12/12/2016,15.73
13/12/2016,15.7
14/12/2016,15.87
15/12/2016,15.75
16/12/2016,15.57
19/12/2016,15.31
20/12/2016,15.14
21/12/2016,15.09
22/12/2016,15.29
23/12/2016,15.25
27/12/2016,15.36
28/12/2016,15.93
29/12/2016,16.16
30/12/2016,16.54
03/01/2017,15.56
04/01/2017,14.84
05/01/2017,14.7
06/01/2017,14.56
09/01/2017,14.63
10/01/2017,14.66
11/01/2017,14.47
12/01/2017,14.58
13/01/2017,14.54
17/01/2017,14.89
18/01/2017,14.94
19/01/2017,15.02
20/01/2017,14.49
23/01/2017,14.54
24/01/2017,13.87
25/01/2017,13.61
26/01/2017,13.63
27/01/2017,13.68
30/01/2017,14.41
31/01/2017,14.48
01/02/2017,14.29
02/02/2017,14.59
03/02/2017,14.05
06/02/2017,14.24
07/02/2017,14.35
08/02/2017,14.56
09/02/2017,14.17
10/02/2017,13.91
13/02/2017,13.68
14/02/2017,13.19
15/02/2017,13.41
16/02/2017,13.63
17/02/2017,13.72
21/02/2017,14.04
22/02/2017,14.39
23/02/2017,14.74
24/02/2017,14.76
27/02/2017,14.91
28/02/2017,15.28
01/03/2017,14.86
02/03/2017,14.77
03/03/2017,14.26
06/03/2017,14.34
07/03/2017,14.41
08/03/2017,14.54
09/03/2017,14.78
10/03/2017,14.38
13/03/2017,14.36
14/03/2017,14.63
15/03/2017,14.2
16/03/2017,13.78
17/03/2017,13.92
20/03/2017,13.9
21/03/2017,14.62
22/03/2017,14.68
23/03/2017,14.91
24/03/2017,14.55
27/03/2017,14.23
28/03/2017,13.68
29/03/2017,13.43
30/03/2017,13.37
31/03/2017,13.6
03/04/2017,13.67
04/04/2017,13.37
05/04/2017,14.12
06/04/2017,13.66
07/04/2017,14.06
10/04/2017,14.58
11/04/2017,15.16
12/04/2017,15.28
13/04/2017,15.75
17/04/2017,14.86
18/04/2017,14.76
19/04/2017,15.08
20/04/2017,14.53
21/04/2017,14.75
24/04/2017,12.9
25/04/2017,12.85
26/04/2017,12.98
27/04/2017,12.8
28/04/2017,12.93
01/05/2017,12.63
02/05/2017,12.83
03/05/2017,13.09
04/05/2017,12.83
05/05/2017,12.85
08/05/2017,12.59
09/05/2017,12.71
10/05/2017,12.91
11/05/2017,13.01
12/05/2017,12.97
15/05/2017,12.78
16/05/2017,12.65
17/05/2017,15.6
18/05/2017,14.97
19/05/2017,13.49
22/05/2017,12.96
23/05/2017,12.9
24/05/2017,12.59
25/05/2017,12.51
26/05/2017,12.44
30/05/2017,12.74
31/05/2017,12.63
01/06/2017,12.42
02/06/2017,12.46
05/06/2017,12.85
06/06/2017,13.08
07/06/2017,13.09
08/06/2017,12.76
09/06/2017,12.96
