Date,VXV
17/12/2018,23.41
14/12/2018,21.96
13/12/2018,21.35
12/12/2018,21.59
11/12/2018,21.72
10/12/2018,22.01
07/12/2018,22.44
06/12/2018,21.06
04/12/2018,20.75
03/12/2018,17.95
30/11/2018,18.89
29/11/2018,19.59
28/11/2018,19.28
27/11/2018,19.94
26/11/2018,20.11
23/11/2018,21.75
21/11/2018,21.32
20/11/2018,22.27
19/11/2018,20.64
16/11/2018,19.35
15/11/2018,20.31
14/11/2018,21.22
13/11/2018,20.27
12/11/2018,20.23
09/11/2018,18.46
08/11/2018,17.68
07/11/2018,17.62
06/11/2018,19.58
05/11/2018,20.2
02/11/2018,20.3
01/11/2018,20.07
31/10/2018,21.15
30/10/2018,22.23
29/10/2018,23.06
26/10/2018,22.48
25/10/2018,22.44
24/10/2018,22.62
23/10/2018,20.28
22/10/2018,19.82
19/10/2018,19.84
18/10/2018,19.86
17/10/2018,18.1
16/10/2018,17.96
15/10/2018,20.29
12/10/2018,19.84
11/10/2018,21.56
10/10/2018,20.7
09/10/2018,16.63
08/10/2018,16.51
05/10/2018,16.25
04/10/2018,15.84
03/10/2018,14.68
02/10/2018,14.84
01/10/2018,14.74
28/09/2018,14.77
27/09/2018,14.89
26/09/2018,15.15
25/09/2018,14.92
24/09/2018,14.77
21/09/2018,14.58
20/09/2018,14.51
19/09/2018,14.65
18/09/2018,15.04
17/09/2018,15.28
14/09/2018,14.37
13/09/2018,14.77
12/09/2018,15.32
11/09/2018,15.54
10/09/2018,16.17
07/09/2018,16.59
06/09/2018,16.34
05/09/2018,15.92
04/09/2018,15.45
31/08/2018,15.15
30/08/2018,15.54
29/08/2018,14.95
28/08/2018,15.11
27/08/2018,14.79
24/08/2018,14.82
23/08/2018,15.06
22/08/2018,15.08
21/08/2018,15.19
20/08/2018,15
17/08/2018,15.17
16/08/2018,15.51
15/08/2018,16.19
14/08/2018,15.35
13/08/2018,16.21
10/08/2018,15.22
09/08/2018,14.13
08/08/2018,13.96
07/08/2018,13.93
06/08/2018,14.23
03/08/2018,14.49
02/08/2018,14.76
01/08/2018,15.22
31/07/2018,14.87
30/07/2018,15.66
27/07/2018,15
26/07/2018,14.4
25/07/2018,14.55
24/07/2018,14.7
23/07/2018,14.86
20/07/2018,15.08
19/07/2018,14.97
18/07/2018,14.39
17/07/2018,14.4
16/07/2018,14.85
13/07/2018,14.54
12/07/2018,14.76
11/07/2018,15.38
10/07/2018,14.71
09/07/2018,14.87
06/07/2018,15.71
05/07/2018,16.53
03/07/2018,17.35
02/07/2018,16.95
29/06/2018,17.14
28/06/2018,17.52
27/06/2018,18.05
26/06/2018,16.87
25/06/2018,17.52
22/06/2018,15.5
21/06/2018,15.87
20/06/2018,14.79
19/06/2018,15.17
18/06/2018,14.48
15/06/2018,14.42
14/06/2018,14.4
13/06/2018,14.92
12/06/2018,14.59
11/06/2018,14.55
08/06/2018,14.6
07/06/2018,14.43
06/06/2018,14.19
05/06/2018,14.72
04/06/2018,14.9
01/06/2018,15.27
31/05/2018,16.33
30/05/2018,16
29/05/2018,17.13
25/05/2018,14.83
24/05/2018,14.43
23/05/2018,14.48
22/05/2018,14.88
21/05/2018,14.69
18/05/2018,15.19
17/05/2018,15.02
16/05/2018,15.14
15/05/2018,15.79
14/05/2018,14.53
11/05/2018,14.82
10/05/2018,15.24
09/05/2018,15.78
08/05/2018,16.48
07/05/2018,16.65
04/05/2018,16.65
03/05/2018,17.03
02/05/2018,17.26
01/05/2018,16.91
30/04/2018,17.34
27/04/2018,17.08
26/04/2018,17.29
25/04/2018,18.23
24/04/2018,18.23
23/04/2018,17.35
20/04/2018,17.72
19/04/2018,17.12
18/04/2018,16.8
17/04/2018,16.8
16/04/2018,17.82
13/04/2018,18.55
12/04/2018,19.28
11/04/2018,20.37
10/04/2018,20.4
09/04/2018,21.23
06/04/2018,21.2
05/04/2018,19.61
04/04/2018,20.42
03/04/2018,21.02
02/04/2018,22.57
29/03/2018,20.55
28/03/2018,22.31
27/03/2018,21.94
26/03/2018,20.7
23/03/2018,22.79
22/03/2018,21.66
21/03/2018,18.71
20/03/2018,18.88
19/03/2018,19.38
16/03/2018,17.74
15/03/2018,18.21
14/03/2018,18.78
13/03/2018,18.05
12/03/2018,17.8
09/03/2018,17.01
08/03/2018,18.18
07/03/2018,18.84
06/03/2018,19.24
05/03/2018,19.21
02/03/2018,19.86
01/03/2018,21.42
28/02/2018,19.89
27/02/2018,19.02
26/02/2018,16.92
23/02/2018,17.5
22/02/2018,19.06
21/02/2018,20.03
20/02/2018,20.01
16/02/2018,19.17
15/02/2018,19.08
14/02/2018,19.34
13/02/2018,22.65
12/02/2018,22.86
09/02/2018,24.92
08/02/2018,27.33
07/02/2018,23.03
06/02/2018,23.75
05/02/2018,28.13
02/02/2018,17.03
01/02/2018,14.72
31/01/2018,14.9
30/01/2018,15.83
29/01/2018,14.99
26/01/2018,13.46
25/01/2018,13.68
24/01/2018,13.53
23/01/2018,13.22
22/01/2018,12.99
19/01/2018,13.04
18/01/2018,13.58
17/01/2018,13.25
16/01/2018,13.23
12/01/2018,12.2
11/01/2018,12.16
10/01/2018,12.36
09/01/2018,12.41
08/01/2018,12.15
05/01/2018,12.06
04/01/2018,12.24
03/01/2018,12.32
02/01/2018,12.61
29/12/2017,13.09
28/12/2017,12.76
27/12/2017,12.65
26/12/2017,12.62
22/12/2017,12.49
21/12/2017,12.35
20/12/2017,12.37
19/12/2017,12.51
18/12/2017,12.07
15/12/2017,12.08
14/12/2017,12.8
13/12/2017,12.5
12/12/2017,12.48
11/12/2017,12.28
08/12/2017,12.46
07/12/2017,12.93
06/12/2017,13.45
05/12/2017,13.54
04/12/2017,13.55
01/12/2017,13.28
30/11/2017,13.04
29/11/2017,12.82
28/11/2017,12.27
27/11/2017,12.57
24/11/2017,12.42
22/11/2017,12.44
21/11/2017,12.55
20/11/2017,13.28
17/11/2017,13.8
16/11/2017,13.96
15/11/2017,14.66
14/11/2017,13.93
13/11/2017,13.75
10/11/2017,13.61
09/11/2017,13.14
08/11/2017,12.88
07/11/2017,12.76
06/11/2017,12.57
03/11/2017,12.42
02/11/2017,12.68
01/11/2017,12.57
31/10/2017,12.38
30/10/2017,12.57
27/10/2017,12.23
26/10/2017,12.93
25/10/2017,12.95
24/10/2017,12.67
23/10/2017,12.55
20/10/2017,11.85
19/10/2017,11.96
18/10/2017,11.92
17/10/2017,12.05
16/10/2017,11.94
13/10/2017,11.98
12/10/2017,12.26
11/10/2017,12.24
10/10/2017,12.47
09/10/2017,12.73
06/10/2017,12.44
05/10/2017,12.18
04/10/2017,12.38
03/10/2017,12.31
02/10/2017,12.36
29/09/2017,12.49
28/09/2017,12.76
27/09/2017,12.91
26/09/2017,13.02
25/09/2017,13.06
22/09/2017,12.85
21/09/2017,12.66
20/09/2017,12.66
19/09/2017,12.73
18/09/2017,12.69
15/09/2017,12.96
14/09/2017,13.16
13/09/2017,13.23
12/09/2017,13.56
11/09/2017,13.86
08/09/2017,14.69
07/09/2017,14.32
06/09/2017,14.4
05/09/2017,14.58
01/09/2017,13.59
31/08/2017,13.8
30/08/2017,14.14
29/08/2017,14.12
28/08/2017,13.99
25/08/2017,13.99
24/08/2017,14.39
23/08/2017,14.33
22/08/2017,13.63
21/08/2017,14.99
18/08/2017,15.65
17/08/2017,16.14
16/08/2017,13.58
15/08/2017,13.9
14/08/2017,13.92
11/08/2017,16.39
10/08/2017,16.21
09/08/2017,13.49
08/08/2017,13.2
07/08/2017,12.66
04/08/2017,12.75
03/08/2017,12.74
02/08/2017,12.56
01/08/2017,12.4
31/07/2017,12.47
28/07/2017,12.58
27/07/2017,12.42
26/07/2017,12.11
25/07/2017,12.05
24/07/2017,12.04
21/07/2017,12.06
20/07/2017,12.04
19/07/2017,12
18/07/2017,12.25
17/07/2017,12.28
14/07/2017,12.23
13/07/2017,12.55
12/07/2017,12.78
11/07/2017,13.16
10/07/2017,13.35
07/07/2017,13.52
06/07/2017,14.11
05/07/2017,13.31
03/07/2017,13.31
30/06/2017,13.14
29/06/2017,13.15
28/06/2017,12.4
27/06/2017,12.96
26/06/2017,12.27
23/06/2017,12.36
22/06/2017,12.62
21/06/2017,12.76
20/06/2017,12.69
19/06/2017,12.4
16/06/2017,12.71
15/06/2017,12.91
14/06/2017,12.77
13/06/2017,12.73
12/06/2017,13.3
09/06/2017,12.96
08/06/2017,12.76
07/06/2017,13.09
06/06/2017,13.08
05/06/2017,12.85
02/06/2017,12.46
01/06/2017,12.42
