Date,Open,High,Low,Close,Adj Close,Volume
30/01/2009,25628.16016,26890.24023,25536,26772.48047,26772.48047,800
02/02/2009,27673.59961,27673.59961,26608.64063,26688,26688,1200
03/02/2009,26659.83984,26659.83984,25423.35938,25438.7207,25438.7207,600
04/02/2009,25152,25699.83984,24832,25533.43945,25533.43945,600
05/02/2009,26009.59961,26570.24023,25126.40039,25377.2793,25377.2793,900
06/02/2009,25344,25349.11914,24335.35938,25011.19922,25011.19922,500
09/02/2009,25172.48047,25681.91992,25054.7207,25428.48047,25428.48047,400
10/02/2009,25856,27048.96094,25287.67969,26777.59961,26777.59961,1000
11/02/2009,26636.80078,26836.48047,26137.59961,26385.91992,26385.91992,300
12/02/2009,26944,27648,26306.56055,26306.56055,26306.56055,300
13/02/2009,26429.43945,26429.43945,25856,26109.43945,26109.43945,400
17/02/2009,27392,28359.67969,27136,27415.03906,27415.03906,300
18/02/2009,26880,28078.08008,26880,27704.32031,27704.32031,300
19/02/2009,27655.67969,27916.80078,27005.43945,27719.67969,27719.67969,100
20/02/2009,28643.83984,29798.40039,28528.64063,29009.91992,29009.91992,600
23/02/2009,28416,30597.11914,28416,30561.2793,30561.2793,300
24/02/2009,30720,30720,27571.19922,27668.48047,27668.48047,500
25/02/2009,27973.11914,28938.24023,26915.83984,27507.19922,27507.19922,600
26/02/2009,27130.88086,28008.96094,26357.75977,27781.11914,27781.11914,300
27/02/2009,29109.75977,29109.75977,27125.75977,27819.51953,27819.51953,400
02/03/2009,28421.11914,30213.11914,28421.11914,29795.83984,29795.83984,600
03/03/2009,28940.80078,30348.80078,28940.80078,29670.40039,29670.40039,500
04/03/2009,29437.43945,29437.43945,26826.24023,27599.35938,27599.35938,600
05/03/2009,28313.59961,29437.43945,27778.56055,29260.80078,29260.80078,700
06/03/2009,29434.88086,29596.16016,28339.19922,29025.2793,29025.2793,800
09/03/2009,29068.80078,29312,28226.56055,29137.91992,29137.91992,500
10/03/2009,28928,28928,26792.96094,26967.03906,26967.03906,600
11/03/2009,26624,27187.19922,26152.96094,26767.35938,26767.35938,1300
12/03/2009,26713.59961,27059.19922,26094.08008,26301.43945,26301.43945,1800
13/03/2009,26163.19922,27005.43945,26104.32031,26688,26688,1900
16/03/2009,26624,27653.11914,26524.16016,27627.51953,27627.51953,2000
17/03/2009,27898.88086,27980.80078,26616.32031,26670.08008,26670.08008,2100
18/03/2009,26905.59961,27164.16016,26137.59961,26736.64063,26736.64063,2700
19/03/2009,26854.40039,27991.03906,26112,27991.03906,27991.03906,2200
20/03/2009,27781.11914,29916.16016,27776,29685.75977,29685.75977,2800
23/03/2009,28928,29376,27727.35938,27806.7207,27806.7207,2600
24/03/2009,28034.56055,28398.08008,27271.67969,28262.40039,28262.40039,2000
25/03/2009,27660.80078,28579.83984,26918.40039,27811.83984,27811.83984,2500
26/03/2009,27312.64063,27315.19922,26414.08008,26716.16016,26716.16016,2300
